trial,status,loss,time,log,error,activation,layer1_layers,layer1_size,layer2_layers,layer2_size,layer3_layers,layer3_size,layer4_layers,layer4_size,learning_rate,weight_decay
161,ok,0.9,696.491269,,,selu,2,64,2,128,2,128,2,384,1.78277409123445,6.85733127631848E-05
162,ok,0.5427,791.624868,,,elu,1,80,3,128,1,256,2,512,2.1534310769507,0.000191324850525
163,ok,0.5872,878.109088,,,elu,1,48,3,128,2,320,2,640,1.78929605372384,2.40987731714794E-05
164,ok,0.5773,739.923257,,,selu,2,32,1,96,2,384,2,256,0.543991252271892,0.000201339008288
165,ok,0.4101,821.302959,,,selu,3,80,1,128,2,320,3,384,0.490981097410829,0.000728745290119
166,ok,0.9,750.838034,,,selu,3,64,2,160,2,256,2,384,1.85036717263516,2.87493013740144E-05
167,ok,0.3698,691.255033,,,elu,3,48,3,64,1,192,2,384,2.73899548406125,5.07710527868681E-05
168,ok,0.4631,704.985112,,,rrelu,2,64,2,96,1,192,2,384,1.20750981331591,5.50798932883045E-05
169,ok,0.3993,760.535194,,,relu,3,48,1,128,1,256,3,384,1.76882261417292,3.7864204908216E-05
170,ok,0.7467,847.630874,,,rrelu,1,32,2,96,3,192,3,512,1.35074224263461,2.19054819541065E-05
171,ok,0.434,670.524151,,,rrelu,2,32,2,64,2,256,1,384,2.86485108619672,0.000686242807254
172,ok,0.5299,700.398158,,,elu,2,32,2,64,2,128,3,384,1.26900347726637,3.13955764293589E-05
173,ok,0.4421,763.907333,,,elu,2,48,2,96,2,256,3,384,2.09322936274104,6.80465064076391E-05
174,ok,0.4716,656.396259,,,selu,3,64,1,64,2,128,2,256,0.555405958929101,0.00048683756443
175,ok,0.7671,857.123062,,,relu,2,32,2,96,1,128,2,768,0.925741999416968,0.000111353626057
176,ok,0.4108,712.033796,,,rrelu,2,80,1,96,1,192,2,384,0.957621419802919,0.000394431630688
177,ok,0.9,1167.736095,,,selu,3,48,2,160,3,128,2,256,2.94413746465042,0.000142122518493
178,ok,0.5087,1199.809384,,,elu,2,96,1,192,2,192,1,640,0.894253643957072,0.000520763814725
179,ok,0.9,1292.690391,,,rrelu,3,64,2,160,1,320,2,384,2.40439135829348,0.000146712868407
180,ok,0.4895,1437.525306,,,rrelu,2,48,2,64,1,320,2,640,1.0762786424745,6.37286630167133E-05
181,ok,0.9,796.716118,,,elu,1,32,1,64,2,128,1,640,2.83686227001036,0.000269702792228
182,ok,0.3918,980.68108,,,selu,3,48,2,64,3,128,1,384,0.971949716943188,0.001201555718639
183,ok,0.9,1177.405163,,,relu,3,32,3,96,1,192,3,384,2.72431918702469,0.00116848095037
184,ok,0.445,1531.102005,,,elu,3,48,1,160,2,128,2,768,0.746318134216606,4.54554287864487E-05
185,ok,0.9,1413.210463,,,selu,1,48,1,96,3,128,3,640,2.8914869988894,6.37538527537123E-05
186,ok,0.4538,1203.885005,,,elu,2,96,2,64,3,192,2,384,0.145717953173381,0.000221644195378
187,ok,0.9,1312.568956,,,rrelu,2,64,1,96,2,320,3,384,2.14476466634695,0.00130290912921
188,ok,0.9,1112.14772,,,elu,2,48,1,128,2,256,2,384,2.01118988011221,0.000183295723241
189,ok,0.9,916.552201,,,elu,1,64,2,96,1,192,2,384,2.66050807496245,6.11193681554603E-05
190,ok,0.9,1471.621535,,,elu,1,64,2,64,2,192,2,768,1.52698218069428,0.001411045317941
191,ok,0.7946,1220.776242,,,relu,3,80,3,96,2,128,2,384,0.879242918779619,0.001910976904649
192,ok,0.9,1398.29261,,,elu,2,32,1,160,3,256,2,512,2.95549247404298,0.001117136447029
193,ok,0.9,1103.00123,,,elu,2,80,1,64,3,192,1,512,2.80193619997011,3.8916473223452E-05
194,ok,0.9,861.249006,,,elu,2,32,1,128,1,192,2,384,2.52757116546814,0.001060571572352
195,ok,0.6578,1600.917889,,,selu,1,48,1,128,3,192,2,768,0.318111159684071,2.52457299072421E-05
196,ok,0.9,1067.313758,,,rrelu,2,80,1,96,1,256,3,256,2.73061599002972,0.000433479819132
197,ok,0.9,1495.6004,,,relu,1,64,2,192,2,256,2,640,1.62790326552683,0.001926615574552
198,ok,0.9,1133.513432,,,elu,2,96,1,96,2,256,1,512,2.54760702540287,0.001955578471083
199,ok,0.5884,1091.720766,,,rrelu,1,48,3,96,1,128,3,384,1.92257459037182,0.000181800454304
200,ok,0.7058,1406.781026,,,rrelu,1,80,1,128,1,256,3,512,1.48817941979199,2.49445813122849E-05
